Shape Parameter MLE,Scale Parameter MLE,Concentration (uM)
2.512766080056636,134.43227784973425,7
2.591817017024495,125.60952124405894,7
2.1901417346142775,153.441681113389,7
2.361578080593757,130.84180700178777,7
2.223553084735455,142.68672619533183,7
2.5354677992757173,122.65284812785326,7
2.2909393991179914,135.9252433058654,7
2.4002392929095526,132.8208070839608,7
2.4342569473311646,136.27589106373745,7
2.462934655005029,126.2466997283937,7
2.354287918904132,132.9688774193152,7
2.3143236508694818,133.2048080938373,7
2.4643684679538387,133.6086087742943,7
2.468366008715594,124.64868945390738,7
2.4276698918163966,134.4386095849507,7
2.6292091151755113,122.39055406331693,7
2.4563946166507233,133.60091711025305,7
2.4420644193660035,132.2691422164833,7
2.4921851289445396,124.40762143238969,7
2.733280995811982,118.27485907216857,7
2.2363945431863783,140.2538975411321,7
2.4916928608015994,129.91793196241494,7
2.4476440244306343,126.82034523880209,7
2.3955189123766507,135.9627799536755,7
2.6513167296120237,123.77593850864498,7
2.3298439328555576,139.63564620166488,7
2.4470253832949855,127.21544884352066,7
2.503857230765944,130.40637338275124,7
2.4475014312445205,140.08289423721055,7
2.4043851726755086,135.0780173376321,7
2.419197171965275,135.14683487277094,7
2.545353077938776,122.7135711690224,7
2.536940264610299,129.3575442163601,7
2.3636219564927865,142.12876207283787,7
2.3307437106316247,131.7802959789739,7
2.2911952449594795,139.16132109052853,7
2.6692090095166936,124.33489437088309,7
2.358449984165049,138.43852043133197,7
2.4202011179783747,131.89695716726408,7
2.3974117776279136,130.6822697668798,7
2.558262417429864,123.88176147657285,7
2.5053402332923356,127.52618113384317,7
2.501811290300506,122.57392001467556,7
2.351808073890282,136.25028350631635,7
2.4134492060506028,126.47396746120388,7
2.4484202307678546,132.80379073664636,7
2.4287122864255384,128.8347475395182,7
2.663769120775398,122.04312509047384,7
2.4615153785782216,125.98971144008739,7
2.158071770646827,151.26217242686928,7
2.686579049166162,114.94187444740751,7
2.533945551910278,125.456272030142,7
2.342352404911591,145.76267064529605,7
2.3575996429862593,134.7929371945744,7
2.5019989190686878,136.4641558042042,7
2.3882860129408243,136.62228533967388,7
2.469739926687443,131.10012655483916,7
2.250970592941767,142.7861955108812,7
2.4000132044277978,126.39899804388568,7
2.4676712628420767,127.73498357365358,7
2.6765187996044078,120.3535343667421,7
2.401333565717215,133.56993959143108,7
2.3453707128886774,135.97342305586912,7
2.357131671998348,133.32450955839826,7
2.6517996478124086,124.21567645481247,7
2.480047273663547,137.73703452036563,7
2.5550271820848742,129.30323911496023,7
2.4531413694616533,126.74026525419704,7
2.42499985570167,138.54433689827823,7
2.356142949948541,129.1033674987478,7
2.4910990451429775,128.13733174336227,7
2.5728181348528425,122.74342640227479,7
2.3652255267794056,141.29921343086852,7
2.581062334256229,126.0635228046064,7
2.383190229342315,132.73085237821255,7
2.3811235586919524,136.9262803796383,7
2.4923118802087982,127.95398089979471,7
2.526431431333833,127.02222059932039,7
2.402665001110365,131.0283596625051,7
2.409190411051482,131.1320146850007,7
2.6032572064545816,121.75628901081119,7
2.4885699980963674,129.86130424169363,7
2.525079832703023,130.13011975289297,7
2.2751182658627958,140.75469095701698,7
2.469721359039158,126.19535150181085,7
2.4511721452708173,132.44185233035455,7
2.616141807825936,125.08243503993474,7
2.537846772705864,128.69015995889447,7
2.441401675462589,134.85983511417825,7
2.3432569764893176,143.89214662840408,7
2.5461237975922986,121.8792278348951,7
2.6303259592582053,123.91217700275477,7
2.3662889214556198,133.10409326622386,7
2.5619072512106924,126.9810784019089,7
2.438701608357163,134.66290253283066,7
2.40693126149463,129.9137799013398,7
2.3218977937518748,135.68361779971633,7
2.3135196868356687,140.154086807999,7
2.412344498345868,131.87885089123404,7
2.477902347786945,134.44531959932962,7
2.372446526665399,133.68071939913472,7
2.414484867926352,137.99812962297446,7
2.395784878914292,128.11898417259022,7
2.446086293427961,131.63511963948835,7
2.393176683996458,138.8657515649326,7
2.377082380653415,137.23015832763414,7
2.471049847493873,130.77892049545773,7
2.3384798831533695,136.537072808782,7
2.5145695138454154,132.21813977488523,7
2.381796294308107,133.2418809855603,7
2.1785791405325585,141.56085133252515,7
2.318024759355418,141.58375137728746,7
2.282163064729823,136.52356652111948,7
2.3968166504238764,138.6695921717124,7
2.340857770919935,138.52860773114688,7
2.4677943186529565,133.5878520364957,7
2.346207458131623,138.51383264786136,7
2.6487845271776793,125.76421902334857,7
2.781603644303713,114.74673559465613,7
2.5068914294877787,131.35995318672275,7
2.4363412769438395,136.44937445108425,7
2.4115928745882598,131.7251576584322,7
2.3897955243228974,132.93723608820187,7
2.4250709613016386,132.6627495874805,7
2.5281593757542726,130.79800893872863,7
2.654319272883761,121.26270111219729,7
2.3788790470230574,143.53236106637178,7
2.331179310419261,135.33340985490665,7
2.531879373447065,128.18260376993751,7
2.4392955777362046,136.1107341065473,7
2.4807220269114683,130.01378133036894,7
2.4482919687987352,134.9061202314991,7
2.4583601461910014,127.2061848471536,7
2.662005702710537,121.61358317186685,7
2.5059581710443735,121.70310774346889,7
2.4043266941261017,137.93347082157828,7
2.2483658530583956,136.62562925039265,7
2.4741560974024908,131.41370422474526,7
2.482212657067271,131.13918974415333,7
2.446554334750688,132.42447791064774,7
2.373965495002965,132.86982623215332,7
2.534915662519599,120.89813738609665,7
2.4064254476203804,137.81012827320882,7
2.410467585840264,134.39571262008204,7
2.385661066085652,129.26510802392986,7
2.5790008107663325,130.5099067958755,7
2.5237612234614146,123.99093660771193,7
2.2778418512593555,138.158411615099,7
2.268736577342019,143.60680251763418,7
2.371525880996241,131.29776545435308,7
2.5025462107362046,136.23328815491914,7
2.456201022942688,125.5961604386173,7
2.5550094424974086,124.8594887349559,7
2.423628563071143,133.56216612882116,7
2.133266910567025,152.00275386131483,7
2.49430762159003,128.66294007375654,7
2.2721679671027113,135.35844467522685,7
2.3920562016642233,133.1015315480486,7
2.292922982227382,138.3414444079092,7
2.4107078074674293,138.72028586714725,7
2.6591314960441363,124.65151399821616,7
2.4718299146650695,128.91894894396714,7
2.4544966059781097,126.8093054887062,7
2.617159512255517,127.09246892133712,7
2.471238752934864,129.7750493917364,7
2.545677258962097,125.01172890591913,7
2.310853586559471,142.2344096674475,7
2.381669679829574,135.7862637010584,7
2.4203636390228174,136.44835348943488,7
2.68184764425811,121.31075470433883,7
2.4565930561391567,134.60255261762518,7
2.524753441755085,125.47539275238083,7
2.398810381685314,125.79565937190155,7
2.4297924330935228,132.9987043631895,7
2.6142788894873084,126.53418311654181,7
2.2425276684358755,145.4307131904399,7
2.4331954930909983,129.988142535128,7
2.7371171082761565,121.49059584641776,7
