Beta_1 Parameter MLE,Beta_2 Parameter MLE,Concentration (uM)
0.006173510264533257,0.006207614432026221,7
0.004368840034774772,0.00926943881939434,7
0.006525804490154736,0.006525804525553149,7
0.004531561697877589,0.008826486318377236,7
0.006065440044701215,0.006065440097740756,7
0.004500873123658489,0.008359577335061708,7
0.005834962287295556,0.006913140673375591,7
0.004252132423758411,0.01173002861339953,7
0.004255999194463887,0.009964180348316344,7
0.006275263413187091,0.006312674997717632,7
0.006253732701998486,0.006304870082636146,7
0.006401179605035967,0.006401181033948298,7
0.005948014974488265,0.006314400651172453,7
0.006400095483544167,0.006400097055135124,7
0.00634690403101259,0.006346904095623418,7
0.005468406102934268,0.007870473737143766,7
0.004331859614123626,0.009469403341571604,7
0.006256375925834252,0.006421162890595004,7
0.004511275281176639,0.009082300561123503,7
0.0047901259395098685,0.00980606726402081,7
0.006210937916072925,0.006210943062028858,7
0.004335316147084934,0.009049338589610765,7
0.004273516029851421,0.009952159479590703,7
0.006139147750181055,0.0061519531221552615,7
0.006254993536861971,0.006254994693044312,7
0.004109974282535054,0.009748230984381982,7
0.0062527681029204505,0.006303652750145325,7
0.006242033445118684,0.006242035285773478,7
0.004513379168836746,0.009878466190729856,7
0.006233216825976109,0.00623321759452261,7
0.0058575280599867385,0.005866029228137387,7
0.006075186494768068,0.006101490684698774,7
0.00639095362629126,0.006420368455652417,7
0.006480136932931965,0.006511258915986955,7
0.004286723108685025,0.009342939466908413,7
0.006138140932527355,0.006201294462388016,7
0.006197364729759922,0.006197367391549558,7
0.004391870006203287,0.009857161345133501,7
0.005840498499669718,0.0062811843594915906,7
0.006324751373467106,0.006324752099040846,7
0.006558970114997763,0.006558972035976226,7
0.004513724078882164,0.010379637703075721,7
0.004606903090818235,0.009139067318725169,7
0.005752168566475684,0.006289082027005007,7
0.006230900264611621,0.006230900513147608,7
0.006289974710749146,0.006289974971601971,7
0.005987434187678962,0.0060118321439647515,7
0.00471790192256749,0.007775842490434533,7
0.006381566652372198,0.006419655114448306,7
0.005122853488810334,0.006957121509532479,7
0.006353092369279108,0.006353093399044971,7
0.005242210462928632,0.007327994077494715,7
0.006135013168961569,0.006135014329735123,7
0.005028914054456325,0.009317245101404631,7
0.006119451513679177,0.006145989180571819,7
0.005666081336185363,0.007757177056903719,7
0.006311054677306221,0.006311055958266705,7
0.00635744978933613,0.006357452171830395,7
0.0062967535546141675,0.006296754380113875,7
0.004475889002274348,0.009707737267281955,7
0.005013243546119835,0.008703110056025698,7
0.006695773397743398,0.006695773789766194,7
0.004360723625087417,0.010598102343005542,7
0.0062496369040187785,0.006249638210747474,7
0.004461799052042483,0.008711254538790469,7
0.0044789480501439645,0.010085914449398407,7
0.00533637537617439,0.007691636255980653,7
0.005275643787344242,0.00790953760449585,7
0.005851154325596086,0.006802952200705166,7
0.0045652094560353785,0.0089932249031626,7
0.006247484419732104,0.006247485103164762,7
0.006061475435328128,0.0060861460956157295,7
0.006273802670264944,0.006273803201833073,7
0.004799488737947839,0.009465110795620763,7
0.006105359977954482,0.0062918520614961265,7
0.006277141852797266,0.00627714233124581,7
0.00622533320303969,0.006288631128412639,7
0.005413189180733265,0.006976633609428171,7
0.004334461784220701,0.011158248897336097,7
0.004787728145392129,0.009420057307428991,7
0.004659259793468577,0.008255040874617852,7
0.006205774999352068,0.006557818298362619,7
0.004566249169804494,0.009066694920864093,7
0.004745752834870328,0.00862071617337759,7
0.005782752068081441,0.006220469977635117,7
0.004035476418633803,0.009616167244340838,7
0.006310888623187907,0.0063108919910733596,7
0.004679574274186572,0.009766313996944772,7
0.0043733379976967825,0.009181554412778356,7
0.00459460588489575,0.0077174110337120605,7
0.005970208003898106,0.006701537478146518,7
0.00655012471632895,0.006551953919475972,7
0.006141454136848914,0.00614145437461453,7
0.004356777867315062,0.010447281541558984,7
0.005678468741853296,0.006562732033974263,7
0.00535626132610273,0.0073015649527678125,7
0.006192043312714529,0.006686231796562023,7
0.005923362990702958,0.00621669807253683,7
0.004448386953431376,0.008927940101744835,7
0.006341836570362892,0.0063418369450408095,7
0.004528124673950592,0.008078616367145349,7
